"","Name","Module","year","Emissions_co2","Emissions_co2e","nonco2","ISO","Classification","lnEmissions_co2","lnEmissions_co2e","lnEmissions_nonco2"
"1108","Bulgaria","Buildings","1977",3833.73788173,4210.9568205723,12.68990617155,"BGR","HICs",8.25159555447922,8.34544517414885,2.54080688781007
"1109","Bulgaria","Buildings","1978",3560.9764846,3909.3342638736,11.71780785764,"BGR","HICs",8.17779007966148,8.27112237348872,2.46110972379069
"1110","Bulgaria","Buildings","1979",4080.47031525,4463.6502568891,12.91701575734,"BGR","HICs",8.31396753410033,8.40372215352074,2.55854549314075
"1111","Bulgaria","Buildings","1980",4670.50904664,5074.871640844,13.6438196233,"BGR","HICs",8.44902334828565,8.5320565111456,2.61328664424767
"1112","Bulgaria","Buildings","1981",4495.02087501,4969.4245184753,15.86892801915,"BGR","HICs",8.4107255909461,8.51105932133513,2.76436298462927
"1113","Bulgaria","Buildings","1982",4564.27856744,5046.398693436,16.13439140123,"BGR","HICs",8.42601574493005,8.52643013785857,2.78095310562489
"1114","Bulgaria","Buildings","1983",4466.93530138,4934.6474654973,15.64061514542,"BGR","HICs",8.40445783756243,8.50403651375308,2.74987106589229
"1115","Bulgaria","Buildings","1984",4183.18789737,4624.4849241306,14.73650353541,"BGR","HICs",8.33882888971856,8.43912027598913,2.690327649356
"1116","Bulgaria","Buildings","1985",4335.36344591,4795.9026626077,15.38781771865,"BGR","HICs",8.37456072558724,8.4755172204051,2.73357613913819
"1117","Bulgaria","Buildings","1986",4724.98247978,5217.2631623628,16.47945337012,"BGR","HICs",8.4606191319379,8.55972824498629,2.80211435464238
"1118","Bulgaria","Buildings","1987",4751.45794368,5163.5793373498,13.89857329642,"BGR","HICs",8.4662067854452,8.54938528802679,2.63178619432342
"1119","Bulgaria","Buildings","1988",6345.70452814,6917.5501092993,14.22488822348,"BGR","HICs",8.75553341072826,8.84181695548006,2.65499312222968
"1120","Bulgaria","Buildings","1989",6122.02584292,6684.7874732385,13.852282633015,"BGR","HICs",8.71964834081628,8.80758969744332,2.62845003010151
"1121","Bulgaria","Buildings","1990",7647.94307654,8151.0573338084,12.221729363595,"BGR","HICs",8.94219201178251,9.00590293202977,2.50321546284636
"1122","Bulgaria","Buildings","1991",5542.79736748,5961.1667242546,10.29980953056,"BGR","HICs",8.62025459228038,8.6930215000042,2.33212540288597
"1123","Bulgaria","Buildings","1992",5351.78760631,5797.3534107607,12.343894312345,"BGR","HICs",8.58518591610094,8.66515678390458,2.51316155315974
"1124","Bulgaria","Buildings","1993",5918.52595821,6363.3922023365,12.58538541151,"BGR","HICs",8.6858427033284,8.75831687929278,2.53253625279138
"1125","Bulgaria","Buildings","1994",5404.62926724,5777.0968424644,10.03345426978,"BGR","HICs",8.59501113701596,8.66165655909314,2.30592493648052
"1126","Bulgaria","Buildings","1995",4075.62088482,4412.7666049602,8.954090559375,"BGR","HICs",8.3127783784417,8.3922571198039,2.1921104736134
"1127","Bulgaria","Buildings","1996",4559.55903226,4961.6076446107,10.893938575345,"BGR","HICs",8.4249811943806,8.50948508910014,2.38820654055243
"1128","Bulgaria","Buildings","1997",3436.89263503,3810.8257448045,10.201167669735,"BGR","HICs",8.14232303837239,8.24560117555781,2.32250219116318
